Treatment,Test,Species,Rank,,,,
Erie,Dec,Chinese,1,,,,
Erie,Dec,Chinese,1,,,,
Erie,Dec,Chinese,3,,,,
Erie,Dec,Chinese,3,,,,
Erie,Dec,Chinese,2,,,,
Erie,Dec,Chinese,2,,,,
Erie,Dec,Chinese,1,,,,
Erie,Dec,Chinese,0,,,,
Erie,Dec,Chinese,1,,,,
Maryland,Dec,Chinese,0,,,,
Maryland,Dec,Chinese,0,,,,
Maryland,Dec,Chinese,4,,,,
Maryland,Dec,Chinese,2,,,,
Maryland,Dec,Chinese,1,,,,
Maryland,Dec,Chinese,1,,,,
Maryland,Dec,Chinese,0,,,,
Maryland,Dec,Chinese,4,,,,
Maryland,Dec,Chinese,4,,,,
Maryland,Dec,Chinese,3,,,,
Maryland,Dec,Chinese,4,,,,
University Park,Dec,Chinese,2,,,,
University Park,Dec,Chinese,0,,,,
University Park,Dec,Chinese,0,,,,
University Park,Dec,Chinese,3,,,,
University Park,Dec,Chinese,1,,,,
University Park,Dec,Chinese,1,,,,
University Park,Dec,Chinese,3,,,,
University Park,Dec,Chinese,0,,,,
University Park,Dec,Chinese,1,,,,
University Park,Dec,Chinese,4,,,,
University Park,Dec,Chinese,1,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,4,,,,
Control,Dec,Hybrid,4,,,,
Control,Dec,Hybrid,2,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,3,,,,
Control,Dec,Hybrid,2,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,3,,,,
Control,Dec,Hybrid,2,,,,
Erie,Dec,Hybrid,4,,,,
Erie,Dec,Hybrid,1,,,,
Erie,Dec,Hybrid,1,,,,
Erie,Dec,Hybrid,0,,,,
Erie,Dec,Hybrid,4,,,,
Erie,Dec,Hybrid,2,,,,
Erie,Dec,Hybrid,2,,,,
Erie,Dec,Hybrid,3,,,,
Erie,Dec,Hybrid,0,,,,
Erie,Dec,Hybrid,4,,,,
Erie,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,2,,,,
Maryland,Dec,Hybrid,4,,,,
Maryland,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,2,,,,
Maryland,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,2,,,,
Maryland,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,3,,,,
Maryland,Dec,Hybrid,3,,,,
Maryland,Dec,Hybrid,3,,,,
Maryland,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,3,,,,
University Park,Dec,Hybrid,0,,,,
University Park,Dec,Hybrid,2,,,,
University Park,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,1,,,,
University Park,Dec,Hybrid,3,,,,
University Park,Dec,Hybrid,2,,,,
University Park,Dec,Hybrid,1,,,,
University Park,Dec,Hybrid,3,,,,
